cluster,size,seq,series,begin,end,id,book,author,ch_len
335007528182,3,444,Shamela0000176-ara1.completed,723,1626,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,903
335007544772,2,154,Shamela0000176-ara1.completed,436,1470,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1034
8590082493,2,607,Shamela0000176-ara1.completed,865,1472,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,607
292057967237,2,252,Shamela0000176-ara1.completed,412,970,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,558
257698092709,2,610,Shamela0000176-ara1.completed,734,925,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,191
128849195501,2,74,Shamela0000176-ara1.completed,629,1525,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,896
309237862891,2,376,Shamela0000176-ara1.completed,1154,1679,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,525
317827604236,2,29,Shamela0000176-ara1.completed,604,1026,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,422
292057867987,2,450,Shamela0000176-ara1.completed,548,856,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,308
292057867988,2,450,Shamela0000176-ara1.completed,1080,1273,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,193
68719677906,2,382,Shamela0000176-ara1.completed,107,527,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,420
128849169396,2,276,Shamela0000176-ara1.completed,816,1617,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,801
94489388600,2,236,Shamela0000176-ara1.completed,297,838,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,541
8590125492,2,453,Shamela0000176-ara1.completed,483,806,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,323
8590125489,2,453,Shamela0000176-ara1.completed,48,470,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,422
60129676221,2,244,Shamela0000176-ara1.completed,421,693,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,272
7637,3,27,Shamela0000176-ara1.completed,316,614,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,298
17180074830,2,606,Shamela0000176-ara1.completed,62,577,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,515
17180074828,2,606,Shamela0000176-ara1.completed,646,1593,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,947
188978775481,2,560,Shamela0000176-ara1.completed,414,608,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,194
386547263731,2,377,Shamela0000176-ara1.completed,389,1268,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,879
34359891302,2,53,Shamela0000176-ara1.completed,1,800,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,799
206158464287,2,53,Shamela0000176-ara1.completed,800,1260,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,460
