word,count
ثلاثين,361
الطهاره,360
الثوب,360
جل,360
الخزاعي,360
صدر,360
الراي,360
سابق,359
سبعه,359
معبد,359
تصفون,359
وحماد,359
منيع,358
ولهما,357
الذهب,357
يفعل,356
موت,356
ابويه,356
عه,356
الرا,356
كانا,356
الاقرار,356
الشي,355
ابني,355
الاشرف,354
وقدم,354
بلغني,354
يحتمل,354
البرزالي,353
الدقاق,353
الصدقه,353
فاني,352
المعرفه,352
المحيط,352
ثمانين,352
القلوسي,351
وبهذا,350
ترجمته,350
تاج,350
مكنا,350
المنعم,350
بسبب,350
الزكي,349
مالا,349
وزكريا,348
حيويه,348
الينا,347
اجاز,347
العير,347
جات,346
السوسي,346
السمعاني,346
عماد,346
الرسل,346
تكلم,346
الذهلي,346
بريده,346
وطافه,345
المغربي,345
بنيسابور,345
للامام,345
معنا,345
تصح,345
مي,344
السابق,344
زمن,344
مقاتل,344
الطباع,344
سوار,344
الوصيه,344
درهما,343
يلزم,343
اخبركم,343
كبير,343
اوله,343
الاحمر,343
الملوك,343
القطع,342
الحيض,342
عجلان,342
يضرب,342
مسكين,342
كنتم,342
الدمياطي,342
شعر,341
اله,341
وسبع,341
رجال,341
يقولون,341
يخذ,341
مولاه,341
يقتل,340
بخطه,340
الفعل,340
برهان,340
تزوج,339
لرجل,339
مطرف,339
الرهن,339
يبلغ,339
العادل,339
ضمن,338
حكايه,338
الصاغ,338
تثريب,338
حدثناه,337
نقص,336
ابت,336
الاستاذ,336
شعره,336
حضر,336
بركه,336
خرجت,336
القديم,336
الجهاد,336
الجزري,336
وتفقه,336
فضاله,335
نص,335
مسعر,335
السدوسي,335
اعتق,335
مقام,334
العوام,333
يقوم,333
العجمي,333
النصيبي,332
مكحول,332
المجيد,332
بر,332
حج,332
الصبي,332
اسعد,332
الدورقي,331
كتابا,331
المطلب,331
بمثله,331
عاليا,331
طارق,330
وضع,330
المطهر,330
فضال,330
ارايت,330
شيبان,329
هند,329
القتل,329
معجم,329
بعير,329
الاحكام,328
اجد,328
خلافه,328
الرساله,328
رحم,328
يمكن,328
ناب,328
الليثي,328
علا,327
اقبل,327
الفرضي,327
حزام,326
سلطان,326
خبيق,326
العلميه,326
اياس,326
الداعي,326
ملوك,326
مشهور,326
جازه,325
الاملا,325
وامر,325
انشدنا,325
بصري,325
القزاز,324
الفصل,324
عقده,324
نسب,324
العجلي,324
الخ,324
الجد,324
الدردا,323
ومحمدا,323
دليلنا,323
عتق,322
صلوات,322
الاف,322
اسحق,322
يحد,322
غدا,322
الاخري,322
والمعني,321
الحاج,321
قليل,319
