section,section_title,st_pos,mid_pos,@YY806,@YY010,@YY020,@YY700,@YY790,@YY358,@YY516,@YY725,@YY567,@YY780,start,end
491,### | ذكر اخطاط القاهرة وظواهرها,362816,362838.0,0,0,0,0,0,0,0,0,0,0,350000,400000
492,### || خط خان الوراقة:,362860,362884.0,0,0,0,0,0,0,0,0,0,0,350000,400000
493,### || خط باب القنطرة:,362908,363120.0,0,0,0,0,0,0,0,0,0,0,350000,400000
494,### || خط بين السورين:,363332,363538.5,0,0,0,0,0,0,1,0,0,0,350000,400000
495,### || خط الكافوري:,363745,364186.5,0,0,0,0,0,0,0,0,0,0,350000,400000
488,### || حارة الحسينية:,360889,361378.5,0,0,0,0,0,0,0,0,0,0,350000,400000
496,### ||| ذكر كافور الإخشيدي,364628,364990.0,0,0,1,0,0,0,0,0,0,0,350000,400000
498,### || خط اصطبل القطبية «1» :,365504,365569.5,0,0,0,0,0,0,0,0,0,0,350000,400000
499,### || خط باب سر المارستان:,365635,365692.5,0,0,0,0,0,0,0,0,0,0,350000,400000
500,### || خط بين القصرين:,365750,366325.0,0,0,0,0,0,0,0,0,0,0,350000,400000
501,### || خط الخشيبة:,366900,366957.0,0,0,0,0,0,0,0,0,0,0,350000,400000
502,### ||| ذكر مقتل الخليفة الظافر,367014,367341.5,0,0,0,0,0,0,0,0,0,0,350000,400000
503,### || خط سقيفة العداس «1» :,367669,367941.0,0,0,0,0,0,0,0,0,0,0,350000,400000
497,### || خط الخرشتف:,365352,365428.0,0,0,0,0,0,0,0,0,0,0,350000,400000
593,### || درب الزراق: بالحكر،,377786,377858.5,1,0,0,0,0,0,0,0,0,0,350000,400000
626,### || رحبة البدري:,380480,380498.0,0,0,0,0,0,0,0,0,0,0,350000,400000
595,### || زقاق منعم: بحارة الديلم،,377968,377996.0,0,0,0,0,0,0,0,0,0,0,350000,400000
697,### || دار الدوادار:,390969,390981.5,0,0,0,0,0,0,0,0,0,0,350000,400000
696,### ||| علم الدين:,389380,390174.5,0,0,0,0,0,0,0,0,0,0,350000,400000
695,### || السبع قاعات:,388896,389138.0,0,0,0,0,0,0,0,0,0,0,350000,400000
694,### || دار بيبرس:,388765,388830.5,0,0,0,0,0,0,0,0,0,0,350000,400000
693,### ||| بدر الدين: محمد بن علي بن يحيى بن فضل الله،,387857,388311.0,0,0,0,0,0,0,0,0,0,0,350000,400000
692,### ||| علاء الدين: علي بن يحيى بن فضل الله العمري،,387457,387657.0,0,0,0,0,0,0,0,0,0,0,350000,400000
691,### ||| ومنهم محيي الدين:,386943,387200.0,0,0,0,0,0,0,0,0,0,0,350000,400000
690,### ||| شرف الدين:,386841,386892.0,0,0,0,0,0,0,0,0,0,0,350000,400000
689,### || دار ms1240 ابن فضل الله:,386807,386824.0,0,0,0,0,0,0,0,0,0,0,350000,400000
688,### || دار عباس:,386280,386543.5,0,0,0,0,0,0,0,0,0,0,350000,400000
687,### ||| بيبرس الحاجب:,386131,386205.5,0,0,0,0,0,0,0,1,0,0,350000,400000
686,### || دار بيبرس الحاجب:,386099,386115.0,0,0,0,0,0,0,0,0,0,0,350000,400000
685,### || دار ابن صغير:,386030,386064.5,0,0,0,0,0,0,0,0,0,0,350000,400000
684,### ||| أقوش الأشرفي:,385804,385917.0,0,0,0,0,0,0,0,0,0,0,350000,400000
683,### || دار نائب الكرك:,385772,385788.0,0,0,0,0,0,0,0,0,0,0,350000,400000
682,### || دار أمير مسعود:,385651,385711.5,0,0,0,0,0,0,0,0,0,0,350000,400000
681,### ||| تنكز الأشرفي:,385251,385451.0,0,0,0,0,0,0,0,0,0,0,350000,400000
667,### || رحبة ارغون ازكه:,383195,383214.0,0,0,0,0,0,0,0,0,0,0,350000,400000
668,### | ذكر الدور,383233,383296.5,0,0,0,0,0,0,0,0,0,0,350000,400000
669,### || دار الأحمدي:,383360,383378.5,0,0,0,0,0,0,0,0,0,0,350000,400000
670,### ||| بيبرس الأحمدي:,383397,383518.5,0,0,0,0,0,0,0,0,0,0,350000,400000
671,### || دار قراسنقر:,383640,383721.0,0,0,0,0,0,0,0,0,0,0,350000,400000
672,### || دار البلقيني:,383802,383847.5,0,0,0,0,0,0,0,0,0,0,350000,400000
698,### || دار فتح الله:,390994,391144.5,1,0,0,0,0,0,0,0,0,0,350000,400000
673,### || دار منكوتمر:,383893,383915.0,0,0,0,0,0,0,0,0,0,0,350000,400000
675,### || دار ابن عبد العزيز:,384414,384524.5,0,0,0,0,0,0,0,0,0,0,350000,400000
676,### || دار الجمقدار «1» :,384635,384723.0,0,0,0,0,0,0,0,0,0,0,350000,400000
677,### || دار أقوش: الرومي بحارة برجوان،,384811,384846.0,0,0,0,0,0,0,0,0,0,0,350000,400000
678,### || دار بنت السعيدي:,384881,384926.0,0,0,0,0,0,0,0,0,0,0,350000,400000
679,### || دار الحاجب:,384971,385065.0,0,0,0,0,0,0,0,0,0,0,350000,400000
680,### || دار تنكز:,385159,385205.0,0,0,0,0,0,0,0,0,0,0,350000,400000
674,### || دار المظفر:,383937,384175.5,0,0,0,0,0,0,0,0,0,0,350000,400000
666,### || رحبة الناصرية:,383133,383164.0,0,0,0,0,0,0,0,0,0,0,350000,400000
699,### ||| فتح الله بن معتصم بن نفيس الإسرايلي الداودي العناني التبريزي،,391295,391525.0,0,0,0,0,0,0,0,0,0,0,350000,400000
701,### ||| وابن قرقة:,391905,391938.5,0,0,0,0,0,0,0,0,0,0,350000,400000
732,### || دار ابن عنان:,399883,399956.5,0,0,0,0,0,0,0,0,0,0,350000,400000
731,### || دار الست شقراء:,399815,399849.0,0,0,0,0,0,0,0,0,0,0,350000,400000
730,### ||| وبهادر هذا,399721,399768.0,0,0,0,0,0,0,0,0,0,0,350000,400000
729,### || دار بهادر المقدم:,399694,399707.5,0,0,0,0,0,0,0,0,0,0,350000,400000
728,### || دار الماس:,399626,399660.0,0,0,0,0,0,0,0,0,0,0,350000,400000
727,### || دار صرغتمش:,399541,399583.5,0,0,0,0,0,0,0,0,0,0,350000,400000
726,### ||| طاز:,399417,399479.0,0,0,0,0,0,0,0,0,0,0,350000,400000
725,### || دار طاز:,399272,399344.5,0,0,0,0,0,0,0,0,0,0,350000,400000
724,### ||| أرغون الكاملي:,398913,399092.5,0,0,0,0,0,0,0,0,0,0,350000,400000
723,### || دار أرغون الكاملي:,398881,398897.0,0,0,0,0,0,0,0,0,0,0,350000,400000
722,### || إصطبل قوصون:,398301,398591.0,0,0,0,0,0,0,0,0,0,0,350000,400000
721,### || قصر يلبغا اليحياوي:,397814,398057.5,0,0,0,0,0,0,0,0,0,0,350000,400000
720,### || قصر الحجازية:,397338,397576.0,0,0,0,0,0,0,0,0,0,0,350000,400000
719,### || قصر بشتاك:,396745,397041.5,0,0,0,0,0,0,0,0,0,0,350000,400000
718,### ||| بيسرى:,396290,396517.5,0,0,0,0,0,0,0,0,0,0,350000,400000
717,### || الدار البيسرية:,395823,396056.5,0,0,0,0,0,0,0,0,0,0,350000,400000
716,### || قصر بكتمر الساقي:,395286,395554.5,0,0,0,0,0,0,0,0,0,0,350000,400000
702,### || دار خوند:,391972,392065.0,0,0,0,0,0,0,0,0,0,0,350000,400000
703,### || دار الذهب:,392158,392242.0,0,0,0,0,0,0,0,0,0,0,350000,400000
704,### || دار الحاجب:,392326,392701.5,0,1,0,0,0,0,0,0,0,0,350000,400000
705,### || دار الجاولي:,393077,393114.5,0,0,0,0,0,0,0,0,0,0,350000,400000
706,### || دار أمير أحمد:,393152,393185.5,0,0,0,0,0,0,0,0,0,0,350000,400000
