,cluster,begin,end,date,book,label,colour
247,670014927179,207774,208067,733,0733Nuwayri.NihayatArab,mamluk,blue
248,163208948632,208087,208432,733,0733Nuwayri.NihayatArab,mamluk,blue
249,51539806629,3841976,3842484,821,0821Qalqashandi.SubhAcsha,mamluk,blue
250,223338432694,2823598,2824108,845,0845Maqrizi.Suluk,mamluk,blue
251,77309544522,361351,362001,310,0310Tabari.Tarikh,pre-fatimid,orange
252,77309544527,360473,360923,733,0733Nuwayri.NihayatArab,mamluk,blue
253,77309544523,360923,361318,310,0310Tabari.Tarikh,pre-fatimid,orange
254,34359922725,360473,360710,450,0450AbuHasanMawardi.AhkamSultaniyya,fatimid,green
255,60129646049,848865,849260,845,0845Maqrizi.Suluk,mamluk,blue
256,128849124623,847905,848431,845,0845Maqrizi.Suluk,mamluk,blue
257,154619021164,848155,848445,807,0807IbnFurat.TarikhDuwal,mamluk,blue
258,326417524296,387834,388136,300,0300IbnKhurdadhbih.MasalikWaMamalik,pre-fatimid,orange
259,8590063092,161603,162158,571,0571IbnCasakir.TarikhDimashq,ayyubid,red
260,8590063093,162138,162460,716,0716NajmDinTufi.Isharat,mamluk,blue
261,8590063094,161603,161883,333,0333IbnMarwanDinawari.MujalasaWaJawahirCilm,pre-fatimid,orange
262,8589999165,112610,112897,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
263,171798911932,111899,112239,230,0230IbnSacd.TabaqatKubra,pre-fatimid,orange
264,326417610343,111400,112239,705,0705SharafDinDimyatti.NisaRasul,mamluk,blue
265,25769846841,111605,111802,734,0734IbnSayyidNas.CuyunAthar,mamluk,blue
266,77309606310,111375,111539,717,0717CabbasSafadi.NuzhatMalikWaMamluk,mamluk,blue
267,8589999160,112337,112912,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
268,8589999169,112384,112659,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
269,17180074830,1526308,1527137,845,0845Maqrizi.ItticazHunafa,mamluk,blue
270,300647782660,1526308,1526477,821,0821Qalqashandi.SubhAcsha,mamluk,blue
271,206158470027,1526123,1526977,363,0363QadiNucman.Majalis,fatimid,green
272,146029113717,422358,422780,733,0733Nuwayri.NihayatArab,mamluk,blue
273,549755993628,1206916,1207210,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
274,395137036613,1207355,1207994,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
275,317827741859,974811,975094,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
276,128849120229,3446475,3447016,725,0725BaybarsMansuri.ZubdatFikra,mamluk,blue
277,180388838229,1111679,1112037,328,0328IbnQasimAnbari.SharhQasaidSabc,pre-fatimid,orange
278,8589977340,1111293,1112003,1,0001Quran.Mushaf,first-century,saddlebrown
279,128849172266,1111293,1111443,272,0272Fakihi.AkhbarMakka,pre-fatimid,orange
280,652835085542,1111146,1111675,845,0845Maqrizi.ImtacAsmac,mamluk,blue
281,292057877200,1112033,1112336,236,0236AbuCabdAllahZubayri.NasabQuraysh,pre-fatimid,orange
282,446676745714,1345753,1346167,626,0626YaqutHamawi.MucjamBuldan,ayyubid,red
283,163208901201,1677310,1677688,654,0654SibtIbnJawzi.MiratZaman,mamluk,blue
284,386547246146,1676782,1676945,711,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,mamluk,blue
285,46324,1676782,1677267,499,0499MurshidYahyaIbnShajari.Amali,fatimid,green
286,34359755461,1677833,1678102,571,0571IbnCasakir.TarjamatHusayn,ayyubid,red
287,77309567709,1677210,1677688,499,0499MurshidYahyaIbnShajari.Amali,fatimid,green
288,352187525301,3258844,3259441,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
289,317827771255,3259513,3260025,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
290,60129671415,381211,381665,224,0224QasimIbnSalam.Amwal,pre-fatimid,orange
291,25770030531,2552768,2553161,660,0660IbnCadim.BughyatTalab,mamluk,blue
292,300647906106,2552768,2553423,845,0845Maqrizi.Muqaffa,mamluk,blue
293,60129568167,611532,611943,346,0346Mascudi.MurujDhahab,pre-fatimid,orange
294,111669245774,611943,612554,346,0346Mascudi.MurujDhahab,pre-fatimid,orange
295,25769887393,3575474,3576157,764,0764Safadi.WafiBiWafayat,mamluk,blue
296,68719537758,934035,934632,733,0733Nuwayri.NihayatArab,mamluk,blue
297,249108224727,2565505,2565686,597,0597CimadDinKatibIsfahani.KharidatQasr,ayyubid,red
298,472446479649,2565158,2565599,646,0646IbnQifti.InbahRuwat,ayyubid,red
299,17179904198,2564825,2565096,429,0429AbuMansurThacalibi.YatimatDahr,fatimid,green
300,68719592465,2640093,2640439,350,0350Balawi.SiratAhmadIbnTulun,pre-fatimid,orange
301,300647728254,2640093,2640781,845,0845Maqrizi.Muqaffa,mamluk,blue
302,300647728253,2640781,2641639,845,0845Maqrizi.Muqaffa,mamluk,blue
303,77309459478,2640439,2641639,350,0350Balawi.SiratAhmadIbnTulun,pre-fatimid,orange
304,108239,641025,641537,212,0212IbnMuzahimMinqari.WaqcatSiffin,pre-fatimid,orange
305,60129749670,641589,641972,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
306,163208979981,640620,640919,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
